info,name,price
周安琪 （著） | 电子工业出版社 | 9787121354618 | 2019-2-1出版 | 2019-3-6 上架,少博士趣学Python,59.93
（美）Amir Shevat（阿米尔·希瓦） （著） | 电子工业出版社 | 9787121355738 | 2019-3-1出版 | 2019-3-6 上架,聊天机器人：对话式体验产品设计,74.25
黑马程序员 （著） | 人民邮电出版社 | 9787115494405 | 2019-3-1出版 | 2019-3-6 上架,Kotlin从基础到实战,47.84
程丹 张良均 （著） | 人民邮电出版社 | 9787115499226 | 2019-3-1出版 | 2019-3-6 上架,大数据数学基础（R语言描述）,38.35
杨家海 安常青 （著） | 人民邮电出版社 | 9787115496225 | 2019-1-1出版 | 2019-3-6 上架,网络空间安全 拒绝服务攻击检测与防御,53.75
王永全  廖根为  涂敏 （著） | 人民邮电出版社 | 9787115496034 | 2019-3-1出版 | 2019-3-6 上架,信息犯罪与计算机取证实训教程,75.46
孟宪伟 许桂秋 （著） | 人民邮电出版社 | 9787115503459 | 2019-3-1出版 | 2019-3-5 上架,大数据导论,38.35
韦德泉 许桂秋 （著） | 人民邮电出版社 | 9787115503466 | 2019-3-1出版 | 2019-3-5 上架,Python编程基础与应用,30.65
冀云 （著） | 人民邮电出版社 | 9787115493729 | 2019-2-1出版 | 2019-3-5 上架,C++ 黑客编程揭秘与防范 第3版,76.23
张素青 王利 （著） | 人民邮电出版社 | 9787115491008 | 2019-3-1出版 | 2019-3-5 上架,SQL Server 2008数据库应用技术（第2版）,38.35
[美]布莱恩·伍德（Brian Wood） （著） | 人民邮电出版社 | 9787115503916 | 2019-3-1出版 | 2019-3-5 上架,Adobe XD CC 2018经典教程 彩色版,76.23
[意]迪诺·埃斯波西托(Dino Esposito） （著） | 人民邮电出版社 | 9787115497451 | 2019-3-1出版 | 2019-3-5 上架,全栈工程师Web开发指南,60.83
[美]史蒂文·F.洛特 （著） | 人民邮电出版社 | 9787115507174 | 2019-3-1出版 | 2019-3-5 上架,Python经典实例,107.03
[新加坡] 黄莉婷 苏川集 （著） | 人民邮电出版社 | 9787115506641 | 2019-2-1出版 | 2019-3-5 上架,白话机器学习算法,37.73
郑婷婷 黄杰晟 （著） | 人民邮电出版社 | 9787115501301 | 2019-3-1出版 | 2019-3-5 上架,响应式网页开发基础教程（jQuery+Bootstrap）,34.65
偶瑞军 （著） | 机械工业出版社 | 9787111619284 | 2019-2-28出版 | 2019-3-4 上架,区块链财税管理与Corda开发指南,60.52
王越 著 （著） | 人民邮电出版社 | 9787568234399 | 2019-1-1出版 | 2019-3-4 上架,国之重器出版工程 系统理论与人工系统设计学,58.52
高云龙 孙辰 （著） | 人民邮电出版社 | 9787115499677 | 2019-2-1出版 | 2019-3-4 上架,大话数据分析 Tableau数据可视化实战,68.53
魔乐科技(MLDN)软件实训中心 （著） | 人民邮电出版社 | 9787115501004 | 2019-3-1出版 | 2019-3-4 上架,Java编程技术大全（套装上下册）,91.63
CAE技术联盟 （著） | 清华大学出版社 | 9787302513506 | 2019-1-1出版 | 2019-3-2 上架,Revit 2018中文版建筑设计入门与提高,63.84
吉姆·斯特恩（Jim Sterne） （著） | 清华大学出版社 | 9787302513858 | 2019-3-1出版 | 2019-3-2 上架,人工智能营销,71.20
周珂令 （著） | 清华大学出版社 | 9787302516910 | 2019-1-1出版 | 2019-3-2 上架,中文版Photoshop CC 2018 完全实战技术手册,79.20
前端科技 （著） | 清华大学出版社 | 9787302517948 | 2019-1-1出版 | 2019-3-2 上架,网页设计与网站建设从入门到精通（微课精编版）,71.84
孙芳 （著） | 清华大学出版社 | 9787302512059 | 2019-1-1出版 | 2019-3-2 上架,中文版After Effects影视后期特效设计与制作全视频实战228例,71.84
王德宝 （著） | 清华大学出版社 | 9787302512417 | 2019-1-1出版 | 2019-3-2 上架,Excel报表一劳永逸（数据+函数+表格）,39.20
宋航 （著） | 清华大学出版社 | 9787302517351 | 2019-2-1出版 | 2019-3-2 上架,万物互联：物联网核心技术与安全,63.20
