APG,BPG,FG,FT,PTs,RPG,SPG,Three_PT,career_minute,career_play,player_contract,player_height,player_name,player_num,player_position,player_salary,player_team,player_weight
,,,,,,,,,该球员为新秀，从未在NBA出场过。,2年242万美元，2019年夏天签,1.93米/6尺4,塔伦-霍顿-塔克,5,G,本年薪金：89万美元,洛杉矶湖人,107公斤/235磅
场均助攻3.3次,场均盖帽0.20个,投篮命中率为45.4%,罚球命中率为87.3%,场均得分16.4分,场均篮板4.6个,场均抢断1.32次,三分命中率为38.3%,职业生涯场均出战32.4分钟,职业生涯每赛季场均出场67场,5年1.78亿美元，2019年夏天签，2024年到期,2.03米/6尺8,克里斯-米德尔顿,22,F-G,本年薪金：3068万美元,密尔沃基雄鹿,106公斤/234磅
场均助攻2.0次,场均盖帽0.50个,投篮命中率为47.0%,罚球命中率为82.5%,场均得分15.8分,场均篮板6.1个,场均抢断0.74次,三分命中率为37.1%,职业生涯场均出战30.9分钟,职业生涯每赛季场均出场52场,5年1.8亿美元，2019年夏天签，2024年到期,2.06米/6尺9,托拜厄斯-哈里斯,33,F,本年薪金：3103万美元,费城76人,107公斤/235磅
场均助攻6.0次,场均盖帽0.27个,投篮命中率为42.4%,罚球命中率为80.8%,场均得分14.1分,场均篮板4.2个,场均抢断1.30次,三分命中率为36.9%,职业生涯场均出战30.6分钟,职业生涯每赛季场均出场63场,3年1亿美元，2017年夏天签，2020年夏天到期，7百万美元不易达到的激励奖金,1.83米/6尺0,凯尔-洛瑞,7,G,本年薪金：3300万美元,多伦多猛龙,93公斤/205磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,双向合同,2.01米/6尺7,杰朗-布洛瑟姆盖姆,4,F,本年薪金：7万美元,克利夫兰骑士,100公斤/220磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,新秀合同，2019年夏天签，2023年到期，2022年，2023年球队选项,2.11米/6尺11,丹尼尔-加福德,12,F-C,本年薪金：89万美元,芝加哥公牛,107公斤/235磅
场均助攻0.7次,场均盖帽0.11个,投篮命中率为42.3%,罚球命中率为88.9%,场均得分5.0分,场均篮板1.6个,场均抢断0.32次,三分命中率为41.2%,职业生涯场均出战13.6分钟,职业生涯每赛季场均出场19场,NULL,2.03米/6尺8,弗兰克-梅森,NULL,G-F,本年薪金：万美元,密尔沃基雄鹿,102公斤/225磅
场均助攻1.7次,场均盖帽0.33个,投篮命中率为44.3%,罚球命中率为87.9%,场均得分9.8分,场均篮板2.9个,场均抢断0.62次,三分命中率为42.7%,职业生涯场均出战25.1分钟,职业生涯每赛季场均出场63场,NULL,2.01米/6尺7,卡姆-雷诺兹,26,G-F,本年薪金：万美元,密尔沃基雄鹿,96公斤/212磅
,,,,,,,,,该球员从未在NBA出场过。,NULL,1.96米/6尺5,凯尔-科沃尔,NULL,G,本年薪金：万美元,密尔沃基雄鹿,95公斤/210磅
,,,,,,,,,该球员从未在NBA出场过。,NULL,2.03米/6尺8,卢克-梅,NULL,F,本年薪金：万美元,密尔沃基雄鹿,109公斤/240磅
