calorie,name
热量：335 大卡(每100克),阿拉斯加 康力士螺旋藻复合片
热量：375 大卡(每100克),蛋挞，又叫蛋挞
热量：374 大卡(每100克),肉松蛋糕，又叫肉松蛋糕卷
热量：305 大卡(每100克),巧克力泡芙，又叫泡芙
热量：170 大卡(每100克),黑椒牛排
热量：256 大卡(每100克),"红薯糖饼，又叫红薯饼,汤饼"
热量：86 大卡(每100克),芝士土豆泥
热量：279 大卡(每100克),全蛋蜂蜜蛋糕
热量：346 大卡(每100克),牛油香橙蛋糕
热量：898 大卡(每100克),芝麻油，又叫麻油、芝麻油
热量：884 大卡(每100克),金龙鱼食用调和油
热量：95 大卡(每100克),黑椒牛柳，又叫洋葱牛肉
热量：143 大卡(每100克),低卡蛋糕
热量：228 大卡(每100克),自制法式土司
热量：19 大卡(每100克),咖啡奶糊，又叫拉费糊
热量：198 大卡(每100克),核桃西兰花
热量：91 大卡(每100克),新元素经典考伯色拉
热量：112 大卡(每100克),自制清拌沙拉
热量：425 大卡(每100克),蔓越莓玛德琳
热量：547 大卡(每100克),玛德琳，又叫原味玛德琳
热量：397 大卡(每100克),巧克力马卡龙
热量：232 大卡(每100克),巴黎车轮泡芙蛋糕
热量：461 大卡(每100克),爆浆蛋糕，又叫熔岩蛋糕，巧克力爆浆蛋糕
热量：321 大卡(每100克),蜂蜜，又叫石蜜、石饴、食蜜、蜜、白蜜、白沙...
热量：400 大卡(每100克),白砂糖，又叫白糖、糖、砂糖、石蜜、白霜糖
热量：361 大卡(每100克),蜂蜜（槐花）
热量：389 大卡(每100克),红糖，又叫土红糖、红糖
热量：33 大卡(每100克),榨菜
热量：63 大卡(每100克),酱油，又叫豉油、酱汁、豉汁
热量：31 大卡(每100克),醋，又叫苦酒、淳酢、醯、酢
热量：630 大卡(每100克),芝麻酱
热量：153 大卡(每100克),腐乳(红)，又叫南乳、酱豆腐
热量：135 大卡(每100克),腐乳(白)，又叫酱豆腐、豆腐乳
热量：349 大卡(每100克),奶酪蛋糕，又叫芝士蛋糕
热量：230 大卡(每100克),黄金发糕，又叫玉米发糕
热量：50 大卡(每100毫升),花生豆浆，又叫豆浆
热量：36 大卡(每100克),冰糖银耳
热量：37 大卡(每100克),番茄浓汤，又叫西红柿汤
热量：99 大卡(每100克),吞拿鱼沙拉
热量：23 大卡(每100毫升),薏仁豆浆
热量：39 大卡(每100克),炒蔬菜丝
热量：99 大卡(每100克),虾仁青豆节瓜蛋炒饭
热量：270 大卡(每100克),芋头酥
热量：136 大卡(每100克),水果沙拉
热量：43 大卡(每100克),"奶油玉米浓汤，又叫西餐汤,浓汤,玉米浓汤"
热量：151 大卡(每100克),奶油蘑菇汤
热量：82 大卡(每100克),"芦笋培根汤，又叫减肥菜,西餐汤,浓汤"
热量：116 大卡(每100克),土豆奶汁烤菜 
热量：123 大卡(每100克),牛肉面，又叫兰州拉面
热量：27 大卡(每100克),炒上海青，又叫炒青菜
热量：159 大卡(每100克),"香蕉奶油浓汤，又叫西餐汤,奶油浓汤,浓汤"
热量：312 大卡(每100克),抹茶阿拉棒，又叫阿拉棒
热量：413 大卡(每100克),Biscotti，又叫比斯考提
热量：314 大卡(每100克),巨蛋披萨，又叫巨蛋香蒜芝士肉酱披萨
热量：235 大卡(每100克),南瓜千层面卷
热量：94 大卡(每100克),番茄炒蛋，又叫番茄炒鸡蛋、西红柿炒蛋、西红...
热量：278 大卡(每100克),吐司面包，又叫吐司、白吐司、面包片、切片面包
热量：62 大卡(每100克),鸡蛋羹
热量：46 大卡(每100克),绿豆汤
热量：46 大卡(每100克),素炒小白菜
